Date,aapl-open,aapl-close,amzn-open,amzn-close,googl-open,googl-close,hcity-open,hcity-close,isrg-open,isrg-close,msft-open,msft-close,nflx-open,nflx-close,nvda-open,nvda-close
28-Mar-18,167.25,166.48,1447.0,1431.42,1001.91,1005.18,25.47,24.79,406.39,402.39,89.82,89.39,298.39,285.77,224.13,221.35
27-Mar-18,173.68,168.34,1572.4,1497.05,1063.9,1006.94,27.14,25.37,416.31,405.22,94.94,89.47,322.49,300.69,247.75,225.52
26-Mar-18,168.07,172.77,1530.0,1555.86,1050.6,1054.09,26.3,26.18,407.78,415.12,90.61,93.78,309.36,320.35,238.0,244.48
23-Mar-18,168.39,164.94,1539.01,1495.56,1051.37,1026.55,26.0,26.66,414.51,399.15,89.5,87.18,307.41,300.94,242.4,232.97
22-Mar-18,170.0,168.85,1565.47,1544.92,1080.01,1053.15,24.84,26.45,420.95,413.9,91.265,89.79,313.07,306.7,246.0,241.85
21-Mar-18,175.04,171.27,1586.45,1581.86,1092.57,1094.0,25.32,24.81,430.41,424.99,92.93,92.48,316.35,316.48,249.32,248.56
20-Mar-18,175.24,175.24,1550.34,1586.51,1098.4,1095.8,24.15,25.26,428.74,430.19,93.05,93.13,313.26,317.5,241.12,249.58
19-Mar-18,177.32,175.3,1554.53,1544.93,1117.76,1100.07,24.15,25.26,433.28,426.86,93.74,92.89,315.8,313.48,248.18,241.0
16-Mar-18,178.65,178.02,1583.45,1571.68,1155.35,1134.42,24.9,24.25,443.37,435.86,94.68,94.6,321.42,318.45,250.0,250.48
15-Mar-18,178.5,178.65,1595.0,1582.32,1149.57,1150.61,25.1,24.91,440.0,441.95,93.53,94.18,323.17,321.09,249.29,249.34
14-Mar-18,180.32,178.44,1597.0,1591.0,1145.8,1148.89,25.0,25.17,442.38,440.77,95.12,93.85,318.16,321.55,249.45,248.74
13-Mar-18,182.59,179.97,1615.96,1588.18,1171.83,1139.91,25.95,25.28,441.62,440.22,97.0,94.41,323.87,315.88,251.49,247.71
12-Mar-18,180.29,181.72,1592.6,1598.39,1165.05,1165.93,26.0,25.98,440.53,438.95,96.5,96.77,333.56,321.3,247.0,249.76
9-Mar-18,177.96,179.98,1563.5,1578.89,1139.5,1160.84,26.0,25.75,434.0,440.46,95.29,96.54,321.33,331.44,243.1,245.33
8-Mar-18,175.48,176.94,1550.0,1551.86,1117.2,1129.38,25.26,25.47,430.88,432.36,94.27,94.43,322.2,317.0,242.95,241.18
7-Mar-18,174.94,175.03,1526.52,1545.0,1092.82,1115.04,25.5,25.25,422.7,430.46,93.16,93.86,320.0,321.16,238.0,241.84
6-Mar-18,177.91,176.67,1533.2,1537.64,1102.1,1100.9,25.55,25.45,426.01,426.5,94.34,93.32,319.88,325.22,239.1,242.16
5-Mar-18,175.21,176.82,1494.24,1523.61,1078.13,1094.76,26.56,25.54,413.22,424.25,92.34,93.64,302.85,315.0,234.51,235.65
2-Mar-18,172.8,176.21,1469.1,1500.25,1057.98,1084.14,27.23,26.66,409.57,417.39,91.58,93.05,284.65,301.05,227.86,236.54
1-Mar-18,178.54,175.0,1513.6,1493.45,1109.54,1071.41,27.39,27.44,428.44,412.13,93.99,92.85,292.75,290.39,241.91,232.21
28-Feb-18,179.26,178.12,1519.51,1512.45,1122.0,1103.92,27.55,27.43,431.46,426.45,94.84,93.77,293.1,291.38,246.5,242.0
27-Feb-18,179.1,178.39,1524.5,1511.98,1143.7,1117.51,27.6,27.42,433.0,430.98,95.74,94.2,294.77,290.61,245.5,246.06
26-Feb-18,176.35,178.97,1509.2,1521.95,1131.86,1143.7,25.55,27.96,430.0,432.0,94.4,95.42,288.75,294.16,247.8,246.58
23-Feb-18,173.67,175.5,1495.34,1500.0,1118.66,1128.09,25.17,25.45,421.31,427.51,92.75,94.06,281.0,285.93,244.57,245.93
22-Feb-18,171.8,172.5,1495.36,1485.34,1119.17,1109.9,25.54,25.27,419.72,419.79,92.05,91.73,283.88,278.14,242.73,242.15
21-Feb-18,172.83,171.07,1485.0,1482.92,1109.1,1113.75,25.68,25.45,421.29,416.56,92.98,91.49,282.07,281.04,251.69,241.51
20-Feb-18,172.05,171.85,1446.49,1468.35,1092.76,1103.59,24.89,25.68,415.51,421.76,91.475,92.72,277.74,278.55,244.75,249.08
19-Feb-18,172.05,171.85,1446.49,1468.35,1092.76,1103.59,24.68,24.98,415.51,421.76,91.475,92.72,277.74,278.55,244.75,249.08
